Company Name,Ticker
KIM HENG OFFSHORE &amp; MARINE HOLDINGS LIMITED,KIMHENG OFFSHORE&MARINE HLDLTD (SGX:5G2)
KIMLY LIMITED,KIMLY LIMITED (SGX:1D0)
KING WAN CORPORATION LIMITED,KING WAN CORPORATION LIMITED (SGX:554)
ABUNDANCE INTERNATIONAL LIMITED,ABUNDANCE INTERNATIONAL LTD (SGX:541)
ACMA LTD.,ACMA LTD. (SGX:AYV)
ACROMEC LIMITED,ACROMEC LIMITED (SGX:43F)
CAPITALAND CHINA TRUST MANAGEMENT LIMITED,CHINA MINING INTERNATIONAL LTD (SGX:BHD)
KHONG GUAN LIMITED,KHONG GUAN LIMITED (SGX:K03)
KIM HENG LTD.,KIM HENG LTD. (SGX:5G2)
KINGSMEN CREATIVES LTD.,KINGSMEN CREATIVES LTD (SGX:5MZ)
KITCHEN CULTURE HOLDINGS LTD.,KITCHEN CULTURE HOLDINGS LTD. (SGX:5TI)
KODA LTD,KODA LTD (SGX:BJZ)
KOP LIMITED,KOP LIMITED (SGX:5I1)
KORI HOLDINGS LIMITED,KORI HOLDINGS LIMITED (SGX:5VC)
KOUFU GROUP LIMITED,KOUFU GROUP LIMITED (SGX:VL6)
KOYO INTERNATIONAL LIMITED,KOYO INTERNATIONAL LIMITED (SGX:5OC)
KS ENERGY LIMITED,KS ENERGY LIMITED (SGX:578)
LASSETERS INTERNATIONAL HOLDINGS LIMITED,LASSETERS INTL HOLDINGS LTD (SGX:5EL)
800 SUPER HOLDINGS LIMITED,800 SUPER HOLDINGS LIMITED (SGX:5TG)
A-SMART HOLDINGS LTD.,A-SMART HOLDINGS LTD. (SGX:BQC)
A-SONIC AEROSPACE LIMITED,A-SONIC AEROSPACE LIMITED (SGX:BTJ)
AA GROUP HOLDINGS LTD.,AA GROUP HOLDINGS LTD. (SGX:5GZ)
ACROMETA GROUP LIMITED,ACROMETA GROUP LIMITED (SGX:43F)
ADDVALUE TECHNOLOGIES LTD,ADDVALUE TECHNOLOGIES LTD (SGX:A31)
ADVANCED HOLDINGS LTD.,ADVANCED HOLDINGS LTD. (SGX:BLZ)
ADVANCED SYSTEMS AUTOMATION LIMITED,ADVANCED SYSTEMS AUTOMATION (SGX:5TY)
ADVANCER GLOBAL LIMITED,ADVANCER GLOBAL LIMITED (SGX:43Q)
AEI CORPORATION LTD.,AEI CORPORATION LTD (SGX:AWG)
AEM HOLDINGS LTD.,AEM HOLDINGS LTD (SGX:AWX)
